friend_pos_list,foe_pos_list,target_coor,label
"[[33.277978, 35.555573], [33.277953, 35.55556], [33.278071, 35.555584], [33.277989, 35.555655], [33.277887, 35.555676]]","[[33.285355, 35.546148], [33.285321, 35.546067], [33.28541, 35.546093], [33.285425, 35.546168], [33.285464, 35.546099], [33.285316, 35.546082], [33.289202, 35.547936], [33.289306, 35.54816], [33.289239, 35.547977], [33.289293, 35.548141], [33.289288, 35.548083], [33.289268, 35.547912], [33.28367, 35.555872], [33.283736, 35.555905], [33.283468, 35.55572]]","[33.277959, 35.556813]",friend
"[[33.278031, 35.554555], [33.27826, 35.554662], [33.273506, 35.554429], [33.273518, 35.554452], [33.273426, 35.554253], [33.275517, 35.553948], [33.275634, 35.55392], [33.275495, 35.553945], [33.275396, 35.553985], [33.275527, 35.554065]]","[[33.286863, 35.551151], [33.286884, 35.551372], [33.286637, 35.551207]]","[33.287824, 35.547834]",friend
"[[33.27102, 35.554384], [33.271148, 35.554262], [33.271202, 35.554188], [33.274561, 35.551758], [33.274595, 35.551864], [33.274586, 35.551706], [33.274946, 35.55327], [33.274827, 35.55327], [33.274788, 35.553256]]","[[33.289454, 35.55071], [33.289443, 35.550681], [33.289448, 35.550454], [33.289513, 35.550661], [33.289351, 35.550457], [33.288334, 35.548691], [33.28846, 35.548612], [33.288294, 35.548795], [33.288405, 35.548839]]","[33.278449, 35.555778]",friend
"[[33.269709, 35.550483], [33.269631, 35.550416], [33.272257, 35.554165], [33.272195, 35.554338], [33.272157, 35.554299], [33.27222, 35.554088]]","[[33.287904, 35.551982], [33.287824, 35.551734], [33.28765, 35.551855], [33.289155, 35.552044], [33.28923, 35.551968], [33.287174, 35.555088], [33.287227, 35.554893], [33.287184, 35.554881], [33.28736, 35.554993]]","[33.286356, 35.550596]",foe
"[[33.274845, 35.552616], [33.274946, 35.552669], [33.27506, 35.552813], [33.277048, 35.551375], [33.277063, 35.551504], [33.276886, 35.551529], [33.276805, 35.551314], [33.276955, 35.551423], [33.276813, 35.551428]]","[[33.289107, 35.547151], [33.289164, 35.54704], [33.289213, 35.547136], [33.286441, 35.554853], [33.28638, 35.554855], [33.2863, 35.554914], [33.286394, 35.554795], [33.286354, 35.554811], [33.287186, 35.547793], [33.28709, 35.547818], [33.28724, 35.547839]]","[33.281473, 35.55753]",friend
"[[33.270717, 35.550408], [33.270887, 35.550331], [33.270689, 35.55051], [33.270963, 35.550352], [33.274896, 35.552964], [33.275001, 35.552864], [33.27491, 35.55288], [33.275142, 35.553052], [33.27494, 35.552995], [33.270022, 35.554157], [33.270118, 35.554267], [33.270177, 35.554106], [33.270142, 35.554018], [33.270013, 35.554097], [33.270119, 35.553978]]","[[33.289642, 35.552482], [33.289619, 35.552485], [33.289738, 35.552481], [33.289552, 35.552316], [33.289763, 35.552308]]","[33.269618, 35.554592]",friend
"[[33.270849, 35.555652], [33.270897, 35.555587], [33.270978, 35.55555], [33.270812, 35.555471], [33.270981, 35.55553], [33.270757, 35.555429], [33.276451, 35.553159], [33.276557, 35.553167], [33.276599, 35.553089], [33.276732, 35.553231], [33.274867, 35.551778], [33.274966, 35.551698], [33.27493, 35.551929], [33.274821, 35.551886], [33.274892, 35.551829]]","[[33.288764, 35.550187], [33.288771, 35.549962], [33.288865, 35.55005], [33.283785, 35.55399], [33.283833, 35.554131], [33.283845, 35.553967], [33.283875, 35.554005], [33.283917, 35.554178], [33.290039, 35.555973], [33.289793, 35.556005], [33.28976, 35.555856], [33.29, 35.555762], [33.289789, 35.555733]]","[33.286317, 35.556812]",friend
"[[33.272238, 35.54995], [33.272147, 35.550007], [33.272301, 35.549997], [33.272348, 35.55004], [33.272351, 35.549957]]","[[33.288883, 35.550518], [33.288948, 35.550474], [33.289005, 35.550486], [33.288827, 35.5507], [33.288838, 35.550734], [33.288285, 35.546574], [33.288317, 35.546655], [33.288191, 35.546609], [33.288276, 35.546411], [33.288252, 35.546636]]","[33.287731, 35.552479]",foe
"[[33.273448, 35.551984], [33.273357, 35.552126], [33.27342, 35.552029], [33.273288, 35.552015], [33.27569, 35.550203], [33.275582, 35.550195], [33.275655, 35.550191], [33.275453, 35.550294]]","[[33.286946, 35.551441], [33.28686, 35.551548], [33.286909, 35.551497], [33.286842, 35.551627], [33.288014, 35.555576], [33.288079, 35.555554], [33.289173, 35.55132], [33.288975, 35.551164]]","[33.285072, 35.550979]",friend
"[[33.272482, 35.551599], [33.272555, 35.551661], [33.272426, 35.55153], [33.27264, 35.551698], [33.272465, 35.551528], [33.270018, 35.554643], [33.27003, 35.554752], [33.269997, 35.554634], [33.270061, 35.554769], [33.278054, 35.552137], [33.278155, 35.551888], [33.278007, 35.552141]]","[[33.285781, 35.550743], [33.28605, 35.550569]]","[33.288104, 35.549628]",foe
"[[33.275688, 35.554525], [33.275706, 35.554465], [33.275809, 35.554552], [33.275613, 35.554602], [33.280139, 35.552667], [33.280071, 35.552376]]","[[33.287584, 35.549237], [33.287642, 35.54933], [33.287703, 35.549192], [33.287641, 35.549116], [33.287594, 35.549104], [33.287109, 35.550147], [33.287213, 35.550078], [33.287234, 35.550103], [33.287089, 35.550126], [33.28717, 35.550192]]","[33.288871, 35.544517]",foe
"[[33.280209, 35.554388], [33.280384, 35.554627], [33.280328, 35.554583], [33.28024, 35.554544], [33.280418, 35.554429]]","[[33.28871, 35.554761], [33.28875, 35.554619], [33.288823, 35.55464], [33.288539, 35.554884], [33.286121, 35.553413], [33.28602, 35.553413], [33.286015, 35.553467], [33.28593, 35.553378], [33.286207, 35.553332], [33.285989, 35.553387], [33.285308, 35.550923], [33.285494, 35.550887], [33.285438, 35.550938], [33.285448, 35.550841]]","[33.284331, 35.557067]",foe
"[[33.271964, 35.554985], [33.272043, 35.554894]]","[[33.287224, 35.55571], [33.287257, 35.55591], [33.285859, 35.551093], [33.285998, 35.551308]]","[33.28354, 35.558247]",foe
"[[33.275532, 35.54998], [33.275776, 35.549924], [33.275553, 35.54999], [33.275535, 35.550142], [33.275804, 35.550321], [33.27578, 35.550466], [33.275808, 35.550433], [33.275822, 35.550551], [33.275662, 35.550271], [33.2758, 35.550362]]","[[33.287346, 35.55563], [33.287575, 35.555576], [33.287321, 35.55584], [33.287324, 35.55581], [33.287531, 35.555849], [33.287514, 35.555723]]","[33.27597, 35.551358]",friend
"[[33.276306, 35.55381], [33.276234, 35.553738], [33.276149, 35.553795], [33.276293, 35.553868], [33.276214, 35.553992], [33.276381, 35.553865]]","[[33.287373, 35.550696], [33.287464, 35.550601], [33.287403, 35.550444], [33.286716, 35.549283], [33.286866, 35.549462], [33.288689, 35.547034], [33.288595, 35.546992], [33.288676, 35.547004], [33.288832, 35.546892]]","[33.278747, 35.556067]",friend
"[[33.278062, 35.553424], [33.278179, 35.553491], [33.277958, 35.553444], [33.278113, 35.553486], [33.277645, 35.550622], [33.277912, 35.550622], [33.277835, 35.550789], [33.277733, 35.550731], [33.277649, 35.550834], [33.277755, 35.550828], [33.279102, 35.555018], [33.279179, 35.554803], [33.279109, 35.555057], [33.279089, 35.554834], [33.279234, 35.554869]]","[[33.285158, 35.548505], [33.285327, 35.548674], [33.285278, 35.548443]]","[33.277069, 35.55704]",friend
"[[33.280988, 35.554624], [33.281107, 35.554753], [33.280978, 35.554704], [33.281067, 35.554846], [33.281117, 35.554815]]","[[33.283259, 35.549655], [33.28312, 35.549611], [33.283243, 35.549452], [33.283282, 35.549422], [33.287227, 35.549981], [33.287233, 35.550051], [33.287211, 35.550118], [33.287331, 35.550214]]","[33.282489, 35.550741]",friend
