friend_pos_list,foe_pos_list,target_coor,label
"[[33.27109, 35.55233], [33.271159, 35.552302]]","[[33.283497, 35.549366], [33.283552, 35.549312], [33.283586, 35.549349], [33.283912, 35.546451], [33.283778, 35.546305], [33.283828, 35.546322], [33.286381, 35.550183], [33.286199, 35.55009], [33.28634, 35.550182]]","[33.271709, 35.548906]",friend
"[[33.269028, 35.553779], [33.268998, 35.553727], [33.273888, 35.550399], [33.273714, 35.550432], [33.273697, 35.550385], [33.272449, 35.552353], [33.272426, 35.552393], [33.272464, 35.552354], [33.272431, 35.55246], [33.272428, 35.552334], [33.272399, 35.55235]]","[[33.28726, 35.552756], [33.28725, 35.552781], [33.28733, 35.552689], [33.287393, 35.552686], [33.288959, 35.555198], [33.288954, 35.555255], [33.288875, 35.555296]]","[33.289902, 35.549121]",foe
"[[33.277958, 35.550038], [33.278023, 35.549937], [33.278, 35.550039], [33.277893, 35.549966], [33.277975, 35.550042], [33.27783, 35.549992], [33.274712, 35.555313], [33.274727, 35.555464], [33.274729, 35.555473], [33.27475, 35.555281], [33.274713, 35.555335], [33.270606, 35.552832], [33.270486, 35.552882], [33.270585, 35.55272], [33.270552, 35.552798], [33.270567, 35.552775]]","[[33.284547, 35.551372], [33.284568, 35.551417], [33.284595, 35.551303]]","[33.288148, 35.550109]",foe
"[[33.274997, 35.555713], [33.274876, 35.555707], [33.275004, 35.555631], [33.274874, 35.555761]]","[[33.288867, 35.553017], [33.288955, 35.553208], [33.288985, 35.55313], [33.288867, 35.553087], [33.289036, 35.553084], [33.288902, 35.553179], [33.285189, 35.55135], [33.285024, 35.551477], [33.285149, 35.551397], [33.285058, 35.5515]]","[33.286428, 35.55614]",foe
"[[33.268305, 35.555863], [33.268278, 35.556016], [33.268369, 35.556045], [33.268228, 35.555933], [33.268396, 35.556028], [33.268234, 35.555979]]","[[33.288856, 35.551586], [33.28889, 35.551495], [33.288975, 35.551506], [33.288853, 35.551494], [33.289014, 35.551638], [33.289726, 35.55159], [33.28973, 35.551431], [33.289606, 35.551425], [33.289646, 35.551552], [33.289716, 35.551603], [33.289762, 35.551581], [33.286794, 35.548369], [33.286753, 35.548486]]","[33.270065, 35.558986]",friend
"[[33.273004, 35.553975], [33.273019, 35.553799], [33.272962, 35.553892], [33.27293, 35.553856]]","[[33.283669, 35.552759], [33.283524, 35.552909], [33.284856, 35.54951], [33.284813, 35.549494], [33.284824, 35.549412], [33.284879, 35.549435], [33.284861, 35.549546], [33.288468, 35.553385], [33.288503, 35.553345], [33.288545, 35.553507], [33.288512, 35.553493], [33.288522, 35.553339]]","[33.280255, 35.545128]",foe
"[[33.272715, 35.554338], [33.272607, 35.554202], [33.273196, 35.550886], [33.273062, 35.55075]]","[[33.283266, 35.550295], [33.283433, 35.550216], [33.283353, 35.55013], [33.283721, 35.547854], [33.283699, 35.547929], [33.285683, 35.555357], [33.285832, 35.555468], [33.28578, 35.555291], [33.285654, 35.555476]]","[33.287136, 35.546789]",foe
"[[33.269946, 35.55365], [33.269985, 35.553727], [33.26994, 35.553688]]","[[33.289494, 35.552636], [33.289411, 35.55251], [33.28946, 35.552525], [33.289454, 35.552616], [33.289379, 35.552589], [33.285247, 35.548071], [33.285206, 35.547968], [33.285222, 35.548112], [33.285356, 35.548018], [33.285359, 35.547974], [33.285347, 35.548042], [33.286914, 35.554046], [33.286948, 35.554085], [33.286908, 35.554011], [33.286974, 35.554064]]","[33.289076, 35.547844]",foe
"[[33.277644, 35.552156], [33.277527, 35.552131], [33.277658, 35.55212], [33.277539, 35.552152], [33.277592, 35.552102], [33.277521, 35.55209]]","[[33.288422, 35.555137], [33.28846, 35.555107], [33.288343, 35.55511], [33.28842, 35.5552], [33.288472, 35.555088], [33.28844, 35.555144]]","[33.279441, 35.5525]",friend
"[[33.277248, 35.553637], [33.277334, 35.553704], [33.277252, 35.553596], [33.277341, 35.55352], [33.27556, 35.552603], [33.275528, 35.552509], [33.275605, 35.552555], [33.275641, 35.552526], [33.270375, 35.551105], [33.270266, 35.551123], [33.270313, 35.55105], [33.27041, 35.551021]]","[[33.287824, 35.547813], [33.287732, 35.547837], [33.289185, 35.554214], [33.289199, 35.554061], [33.289248, 35.554244], [33.289324, 35.554142], [33.28978, 35.555119], [33.289865, 35.555231], [33.289822, 35.555087], [33.289923, 35.555114]]","[33.273956, 35.555985]",friend
