friend_pos_list,foe_pos_list,target_coor,label
"[[33.270353, 35.549833], [33.269816, 35.549602], [33.270217, 35.550319], [33.273388, 35.550058], [33.273199, 35.550422], [33.274051, 35.549938], [33.268414, 35.553945], [33.26857, 35.554076], [33.269121, 35.554292], [33.268687, 35.554263]]","[[33.286793, 35.54814], [33.287199, 35.548848], [33.286934, 35.548818], [33.286626, 35.549036], [33.286521, 35.548462], [33.286562, 35.54861], [33.290199, 35.550826], [33.289913, 35.550637], [33.290219, 35.550259], [33.290232, 35.550193], [33.29024, 35.550723], [33.289114, 35.549959], [33.289363, 35.549926], [33.289713, 35.550828], [33.289473, 35.550231], [33.28963, 35.550615], [33.286297, 35.551208], [33.285799, 35.552053], [33.285473, 35.551563], [33.285988, 35.551181], [33.286093, 35.551237], [33.287349, 35.552353], [33.287825, 35.552281], [33.287585, 35.55246], [33.288039, 35.551646], [33.287503, 35.551994], [33.287991, 35.552408]]","[33.268622, 35.552857]",friend
"[[33.269428, 35.549907], [33.269835, 35.550238], [33.269484, 35.550115], [33.27039, 35.550229], [33.273576, 35.549709], [33.273195, 35.549358], [33.27391, 35.550339], [33.273997, 35.550024], [33.273968, 35.549831], [33.268951, 35.553557], [33.268946, 35.553952], [33.269253, 35.554281]]","[[33.287249, 35.548829], [33.2866, 35.549064], [33.286701, 35.548491], [33.286611, 35.549062], [33.286768, 35.548384], [33.287229, 35.548765], [33.289318, 35.551428], [33.289356, 35.551111], [33.289701, 35.550717], [33.289663, 35.551128], [33.289389, 35.550897], [33.289868, 35.550557], [33.289378, 35.550605], [33.289164, 35.550439], [33.285613, 35.55121], [33.285503, 35.551423], [33.286281, 35.551849], [33.2856, 35.551329], [33.287152, 35.551494], [33.288012, 35.552371], [33.287102, 35.551637], [33.287279, 35.552217]]","[33.280506, 35.549757]",foe
"[[33.2699, 35.550043], [33.270211, 35.549846], [33.270211, 35.549825], [33.270086, 35.550417], [33.269985, 35.55039], [33.269855, 35.549813], [33.273143, 35.549942], [33.273271, 35.549531], [33.273126, 35.550304], [33.273914, 35.550113], [33.273099, 35.549444], [33.273894, 35.549512], [33.268104, 35.553798], [33.268663, 35.5539], [33.26872, 35.553181]]","[[33.287089, 35.548249], [33.286508, 35.548954], [33.286469, 35.548957], [33.289334, 35.551055], [33.289448, 35.550958], [33.289581, 35.550784], [33.289574, 35.551428], [33.289619, 35.551066], [33.289135, 35.55016], [33.289714, 35.550163], [33.289095, 35.54985], [33.289912, 35.550432], [33.290006, 35.550183], [33.289673, 35.549961], [33.286039, 35.550772], [33.286146, 35.551462], [33.285997, 35.551321], [33.285904, 35.550901], [33.28791, 35.551721], [33.287808, 35.551746], [33.287867, 35.551533], [33.287801, 35.552191], [33.287874, 35.552455], [33.287315, 35.552207]]","[33.272654, 35.545267]",friend
"[[33.269668, 35.549599], [33.269645, 35.549804], [33.27019, 35.550416], [33.270396, 35.550464], [33.269714, 35.550406], [33.270347, 35.549674], [33.273465, 35.549983], [33.273462, 35.549466], [33.273409, 35.549618], [33.273714, 35.550284], [33.273314, 35.549564], [33.268819, 35.553709], [33.268482, 35.553844], [33.268866, 35.553278], [33.268333, 35.553254], [33.268313, 35.553494]]","[[33.286841, 35.548794], [33.286875, 35.548841], [33.286957, 35.548165], [33.289168, 35.551145], [33.289996, 35.551025], [33.289417, 35.551055], [33.289771, 35.551043], [33.289814, 35.550782], [33.290066, 35.550003], [33.289986, 35.550782], [33.289904, 35.550531], [33.289847, 35.550379], [33.285265, 35.550821], [33.285317, 35.551069], [33.28586, 35.551204], [33.285706, 35.550941], [33.287187, 35.551722], [33.287384, 35.551491], [33.28777, 35.551516], [33.287661, 35.551213], [33.287309, 35.551275], [33.287347, 35.55207]]","[33.263133, 35.560188]",friend
"[[33.269651, 35.550373], [33.269851, 35.549729], [33.270388, 35.550409], [33.270383, 35.549856], [33.269955, 35.550188], [33.273275, 35.549524], [33.273518, 35.549988], [33.273037, 35.549849], [33.268857, 35.55406], [33.268568, 35.554015], [33.2687, 35.553772]]","[[33.286801, 35.548775], [33.28657, 35.548323], [33.287272, 35.548376], [33.287112, 35.548742], [33.289292, 35.551307], [33.290191, 35.551137], [33.289274, 35.55135], [33.289623, 35.551021], [33.289519, 35.55125], [33.289159, 35.550437], [33.289854, 35.551209], [33.289106, 35.551268], [33.288902, 35.551003], [33.289604, 35.550854], [33.285757, 35.551019], [33.28561, 35.55065], [33.285429, 35.551101], [33.285599, 35.550995], [33.287566, 35.551574], [33.287966, 35.551275], [33.287521, 35.552057]]","[33.264257, 35.548349]",friend
"[[33.269978, 35.549969], [33.269908, 35.549749], [33.2703, 35.550418], [33.270309, 35.549537], [33.270164, 35.550509], [33.270162, 35.550192], [33.274208, 35.549629], [33.27406, 35.549646], [33.273503, 35.550025], [33.268571, 35.553704], [33.268044, 35.554436], [33.267899, 35.553922]]","[[33.287197, 35.548475], [33.286428, 35.548597], [33.287253, 35.548908], [33.287214, 35.548486], [33.287112, 35.548767], [33.289939, 35.551701], [33.289805, 35.551458], [33.290153, 35.551155], [33.289866, 35.551402], [33.289737, 35.550612], [33.289075, 35.551284], [33.28959, 35.550545], [33.285354, 35.551426], [33.285199, 35.550844], [33.285271, 35.550622], [33.285785, 35.550831], [33.285969, 35.551457], [33.287637, 35.551918], [33.287863, 35.551677], [33.287568, 35.551212], [33.28778, 35.551851]]","[33.262117, 35.551265]",friend
"[[33.270297, 35.550056], [33.26948, 35.549866], [33.270385, 35.550437], [33.273649, 35.5506], [33.274325, 35.550017], [33.273541, 35.550257], [33.274389, 35.550451], [33.268698, 35.554176], [33.26856, 35.553816], [33.268135, 35.554043], [33.268747, 35.554508]]","[[33.286739, 35.548342], [33.286586, 35.548113], [33.287315, 35.548748], [33.286638, 35.548236], [33.286661, 35.548705], [33.290265, 35.551537], [33.28959, 35.551162], [33.289418, 35.550845], [33.289281, 35.550583], [33.288949, 35.550573], [33.289323, 35.551179], [33.288932, 35.55101], [33.285834, 35.551043], [33.285727, 35.550555], [33.285834, 35.550951], [33.285606, 35.551101], [33.285526, 35.55128], [33.285628, 35.550939], [33.287048, 35.551715], [33.287493, 35.55235], [33.286963, 35.552378], [33.28682, 35.552368], [33.286652, 35.552452], [33.286942, 35.552123]]","[33.286706, 35.555454]",foe
"[[33.269979, 35.549883], [33.269948, 35.550295], [33.270069, 35.550214], [33.274388, 35.550497], [33.273757, 35.550187], [33.274464, 35.549628], [33.268267, 35.554332], [33.268748, 35.553908], [33.268672, 35.553946]]","[[33.287448, 35.548871], [33.287181, 35.548859], [33.287643, 35.548075], [33.289787, 35.551297], [33.289802, 35.551271], [33.290361, 35.551347], [33.289547, 35.55094], [33.289629, 35.550364], [33.289709, 35.550957], [33.28892, 35.550764], [33.285605, 35.550201], [33.285766, 35.550793], [33.28549, 35.550273], [33.285756, 35.55026], [33.285374, 35.551139], [33.286687, 35.551737], [33.287622, 35.552404], [33.286678, 35.551834]]","[33.262275, 35.550031]",friend
"[[33.270337, 35.550113], [33.269613, 35.55017], [33.270087, 35.550522], [33.269834, 35.549549], [33.270141, 35.549916], [33.273947, 35.550305], [33.27375, 35.550387], [33.274427, 35.54989], [33.273853, 35.549968], [33.268485, 35.554124], [33.268907, 35.554701], [33.269112, 35.554249], [33.268857, 35.554219]]","[[33.287744, 35.548194], [33.287438, 35.548666], [33.287577, 35.548093], [33.287692, 35.548651], [33.289661, 35.551541], [33.28982, 35.551516], [33.290054, 35.550842], [33.289875, 35.550367], [33.289724, 35.550687], [33.289109, 35.550817], [33.28904, 35.551201], [33.289793, 35.551016], [33.289207, 35.551272], [33.285898, 35.550854], [33.285571, 35.550822], [33.285427, 35.550789], [33.285182, 35.550896], [33.285138, 35.550964], [33.28675, 35.551584], [33.28685, 35.55206], [33.286775, 35.55227], [33.287511, 35.551907], [33.287236, 35.551604]]","[33.272843, 35.560594]",friend
"[[33.270371, 35.550045], [33.269508, 35.550395], [33.270343, 35.550254], [33.274224, 35.550426], [33.273921, 35.550458], [33.273901, 35.550224], [33.268374, 35.554379], [33.268131, 35.554686], [33.269069, 35.554252], [33.268715, 35.55479], [33.268177, 35.554514], [33.268742, 35.553934]]","[[33.28817, 35.547914], [33.287942, 35.548454], [33.28726, 35.547783], [33.288183, 35.548163], [33.287789, 35.548488], [33.289983, 35.550906], [33.289991, 35.551097], [33.289711, 35.551721], [33.28972, 35.550852], [33.28941, 35.550492], [33.289638, 35.55054], [33.28921, 35.550421], [33.289049, 35.551142], [33.289079, 35.550607], [33.289824, 35.55056], [33.285197, 35.55071], [33.285007, 35.550237], [33.284931, 35.550507], [33.285354, 35.550828], [33.285257, 35.550519], [33.287111, 35.551615], [33.287094, 35.552271], [33.287396, 35.551956], [33.287342, 35.55229], [33.287586, 35.551533], [33.286854, 35.552306]]","[33.273275, 35.552131]",friend
