friend_pos_list,foe_pos_list,target_coor,label
"[[33.274426, 35.554861], [33.273895, 35.554578], [33.273723, 35.554966], [33.274068, 35.555477], [33.274147, 35.555274], [33.273989, 35.55461], [33.269701, 35.552134], [33.269815, 35.55232], [33.269689, 35.552411], [33.269741, 35.551759], [33.269469, 35.551742], [33.269267, 35.552194], [33.269373, 35.552155], [33.269432, 35.551657], [33.272865, 35.555153], [33.272449, 35.555015], [33.273164, 35.555722], [33.273056, 35.555943], [33.272553, 35.555383], [33.273276, 35.555293], [33.272713, 35.550558], [33.272879, 35.551157], [33.273404, 35.550766], [33.273308, 35.551104], [33.273089, 35.550494], [33.272996, 35.551335], [33.27264, 35.550641], [33.27282, 35.550728], [33.273296, 35.55112], [33.273, 35.551241], [33.27426, 35.552441], [33.274845, 35.552337], [33.275129, 35.552233], [33.274245, 35.552552], [33.275046, 35.552742], [33.274433, 35.552609], [33.274861, 35.552284], [33.274245, 35.552637], [33.274814, 35.55259], [33.275093, 35.55212], [33.274348, 35.55282], [33.271794, 35.554105], [33.272017, 35.554139], [33.27162, 35.554103], [33.27206, 35.553641], [33.27211, 35.5538], [33.272482, 35.553707], [33.271566, 35.552834], [33.270911, 35.552419], [33.271349, 35.552628], [33.271446, 35.552391], [33.271613, 35.552186], [33.271635, 35.552166], [33.271687, 35.552415], [33.271003, 35.552736]]","[[33.285747, 35.547226], [33.285399, 35.547398], [33.28532, 35.54766], [33.285216, 35.54741], [33.285308, 35.547038], [33.286048, 35.547629], [33.285532, 35.547463], [33.286744, 35.548451], [33.286681, 35.548093], [33.286674, 35.548485], [33.287214, 35.548147], [33.287503, 35.548555], [33.28714, 35.548559], [33.287032, 35.548043], [33.286688, 35.548827], [33.287415, 35.548137], [33.287194, 35.548524], [33.287418, 35.548566], [33.287519, 35.548568], [33.287756, 35.548911], [33.288043, 35.548877], [33.287352, 35.548322], [33.287657, 35.548906], [33.287232, 35.548672], [33.287623, 35.548815], [33.28787, 35.548689]]","[33.263483, 35.547901]",friend
"[[33.274548, 35.554615], [33.274602, 35.55502], [33.274915, 35.555199], [33.274808, 35.555224], [33.274528, 35.555079], [33.275194, 35.554603], [33.275051, 35.554806], [33.27482, 35.555221], [33.275355, 35.555152], [33.274875, 35.555155], [33.270022, 35.551721], [33.269821, 35.551652], [33.269447, 35.552386], [33.269477, 35.551801], [33.269334, 35.551516], [33.269524, 35.551646], [33.269862, 35.552186], [33.269918, 35.552267], [33.27328, 35.555883], [33.272374, 35.55516], [33.273054, 35.555083], [33.272387, 35.555931], [33.272883, 35.555732], [33.272732, 35.555491], [33.27256, 35.555677], [33.272466, 35.555861], [33.272689, 35.555299], [33.284701, 35.550086], [33.285031, 35.54986], [33.28559, 35.550101], [33.285015, 35.550338], [33.284755, 35.550391], [33.28519, 35.550772], [33.28509, 35.549981], [33.285117, 35.550257], [33.275623, 35.552124], [33.27562, 35.552953], [33.275431, 35.55272], [33.275414, 35.552717], [33.275944, 35.552234], [33.276063, 35.552858], [33.275302, 35.55252], [33.275429, 35.552642], [33.275655, 35.55215], [33.275768, 35.552732], [33.275642, 35.552599], [33.273062, 35.553375], [33.273373, 35.553593], [33.272907, 35.553714], [33.273327, 35.553867], [33.273223, 35.553876], [33.273371, 35.553503], [33.271019, 35.552627], [33.271538, 35.552614], [33.270874, 35.552625], [33.271262, 35.552728], [33.271681, 35.552764], [33.270861, 35.552828], [33.271228, 35.552317], [33.271657, 35.552201], [33.271107, 35.552588], [33.271599, 35.552886]]","[[33.285582, 35.547639], [33.285333, 35.547925], [33.285245, 35.547538], [33.285466, 35.547254], [33.285567, 35.547722], [33.285625, 35.547922], [33.285438, 35.547803], [33.285388, 35.547509], [33.287527, 35.548479], [33.286677, 35.548218], [33.286758, 35.548527], [33.28678, 35.548691], [33.287135, 35.54803], [33.287436, 35.548675], [33.28685, 35.54888], [33.286794, 35.548104], [33.28736, 35.548367], [33.286838, 35.548601], [33.286754, 35.547925], [33.286635, 35.548525], [33.287635, 35.548954], [33.287135, 35.548216], [33.287883, 35.548912], [33.288011, 35.548991], [33.287812, 35.548549], [33.287345, 35.548499], [33.288007, 35.548369], [33.287277, 35.548438], [33.287314, 35.548493], [33.287986, 35.548397], [33.287517, 35.548699]]","[33.275836, 35.546536]",friend
"[[33.276011, 35.555365], [33.27572, 35.554593], [33.276573, 35.555012], [33.276056, 35.555043], [33.276581, 35.555133], [33.275894, 35.555076], [33.276436, 35.554635], [33.270063, 35.551755], [33.269631, 35.551958], [33.269526, 35.551578], [33.269712, 35.552495], [33.270192, 35.552285], [33.269872, 35.551653], [33.269931, 35.551916], [33.270142, 35.551788], [33.270149, 35.552195], [33.269403, 35.552012], [33.270105, 35.552041], [33.269281, 35.552188], [33.274192, 35.555633], [33.274072, 35.555426], [33.273815, 35.555514], [33.273404, 35.555737], [33.273245, 35.555404], [33.273338, 35.555834], [33.273893, 35.555363], [33.273404, 35.555509], [33.273364, 35.555058], [33.273503, 35.555725], [33.273983, 35.555026], [33.27327, 35.555039], [33.285048, 35.55014], [33.285653, 35.550657], [33.284751, 35.550579], [33.285405, 35.55045], [33.285111, 35.550111], [33.285618, 35.550193], [33.285628, 35.550246], [33.285182, 35.549939], [33.285091, 35.550626], [33.284866, 35.55029], [33.275211, 35.55175], [33.275694, 35.551306], [33.275779, 35.551279], [33.275253, 35.551691], [33.275527, 35.551939], [33.27574, 35.551185], [33.27589, 35.551942], [33.27536, 35.551362], [33.273298, 35.553938], [33.272816, 35.553974], [33.272894, 35.553545], [33.272681, 35.553922], [33.272674, 35.553385], [33.273323, 35.554165], [33.273003, 35.554253], [33.272742, 35.553633], [33.272833, 35.553753], [33.273295, 35.553517], [33.273501, 35.554142], [33.272641, 35.554105], [33.27142, 35.552219], [33.271329, 35.551648], [33.270819, 35.552045], [33.271383, 35.551793], [33.271068, 35.552273], [33.271098, 35.55191], [33.271074, 35.552451]]","[[33.28572, 35.547322], [33.285946, 35.54782], [33.28554, 35.547889], [33.285696, 35.547425], [33.285479, 35.547268], [33.285764, 35.548031], [33.286029, 35.547812], [33.285625, 35.547718], [33.286192, 35.547476], [33.286028, 35.54793], [33.286742, 35.548803], [33.2873, 35.548196], [33.286904, 35.547997], [33.287393, 35.548171], [33.286863, 35.548855], [33.286596, 35.548061], [33.286602, 35.548024], [33.28667, 35.548331], [33.287524, 35.548154], [33.287393, 35.548762], [33.287989, 35.548442], [33.288025, 35.548133], [33.287747, 35.548463], [33.287241, 35.54873], [33.287149, 35.548266], [33.287605, 35.548802], [33.287942, 35.548935]]","[33.274493, 35.559296]",friend
"[[33.277375, 35.555163], [33.277889, 35.55511], [33.277857, 35.554787], [33.277398, 35.555052], [33.277877, 35.554724], [33.277914, 35.554921], [33.270717, 35.550961], [33.27058, 35.550989], [33.270595, 35.55186], [33.270692, 35.55124], [33.27142, 35.551414], [33.271455, 35.551532], [33.270905, 35.551313], [33.271463, 35.5509], [33.270566, 35.551066], [33.270648, 35.551107], [33.27345, 35.555852], [33.274183, 35.555045], [33.274044, 35.555678], [33.273495, 35.555881], [33.273513, 35.555824], [33.273849, 35.555142], [33.27328, 35.555523], [33.274186, 35.555463], [33.273339, 35.555664], [33.284754, 35.550164], [33.284972, 35.55035], [33.285099, 35.550138], [33.285051, 35.550698], [33.285064, 35.550612], [33.285202, 35.549966], [33.285667, 35.550416], [33.285684, 35.550196], [33.285587, 35.550259], [33.275909, 35.551271], [33.276079, 35.550557], [33.276207, 35.551318], [33.275808, 35.550659], [33.276283, 35.550493], [33.276667, 35.551237], [33.27622, 35.550736], [33.276744, 35.5505], [33.276324, 35.551268], [33.276522, 35.550955], [33.276082, 35.551147], [33.276004, 35.550492], [33.273152, 35.553863], [33.273545, 35.554011], [33.272629, 35.553669], [33.27291, 35.553323], [33.272855, 35.553848], [33.273515, 35.554213], [33.273085, 35.553502], [33.27316, 35.553791], [33.273271, 35.553338], [33.27331, 35.553896], [33.271666, 35.5515], [33.270875, 35.551606], [33.271526, 35.551453], [33.271034, 35.551544], [33.271077, 35.552182], [33.271406, 35.551621], [33.271793, 35.551981], [33.271461, 35.551767], [33.271612, 35.551967], [33.271822, 35.552338], [33.271144, 35.552249], [33.27095, 35.551477]]","[[33.286117, 35.547587], [33.285516, 35.547774], [33.285859, 35.547627], [33.285803, 35.547698], [33.286115, 35.54728], [33.285387, 35.547602], [33.286014, 35.547182], [33.286951, 35.548831], [33.28705, 35.547953], [33.287276, 35.547936], [33.286854, 35.547906], [33.287457, 35.547913], [33.287501, 35.547921], [33.286679, 35.54862], [33.287245, 35.548765], [33.287227, 35.548401], [33.287276, 35.547896], [33.286864, 35.547929], [33.288358, 35.548191], [33.287522, 35.548677], [33.288012, 35.548846], [33.288431, 35.548054], [33.288224, 35.547937], [33.287921, 35.548705]]","[33.274146, 35.547004]",foe
"[[33.278027, 35.555018], [33.278615, 35.555016], [33.277961, 35.55474], [33.278633, 35.555025], [33.278236, 35.554888], [33.278444, 35.555369], [33.278395, 35.554925], [33.278704, 35.555324], [33.272167, 35.551757], [33.272316, 35.551449], [33.272418, 35.551633], [33.271875, 35.551331], [33.271868, 35.551394], [33.272039, 35.551337], [33.271802, 35.551579], [33.271965, 35.551182], [33.271997, 35.551217], [33.272184, 35.550919], [33.27183, 35.551758], [33.272108, 35.551238], [33.273645, 35.555283], [33.273597, 35.554886], [33.273704, 35.555638], [33.273701, 35.555271], [33.27429, 35.555654], [33.274376, 35.555452], [33.273792, 35.555083], [33.274254, 35.555352], [33.274054, 35.55505], [33.274175, 35.555108], [33.274429, 35.555368], [33.274048, 35.555112], [33.285411, 35.550138], [33.284757, 35.550237], [33.285573, 35.550014], [33.28487, 35.550296], [33.284711, 35.550675], [33.285414, 35.549906], [33.284739, 35.550317], [33.276851, 35.550692], [33.276771, 35.550951], [33.277104, 35.551111], [33.277464, 35.551102], [33.277162, 35.550869], [33.277562, 35.551349], [33.277232, 35.550631], [33.273646, 35.554172], [33.274163, 35.554095], [33.2741, 35.553377], [33.273711, 35.553495], [33.274063, 35.553725], [33.274003, 35.553455], [33.273399, 35.553814], [33.273921, 35.554188], [33.274299, 35.55369], [33.273971, 35.553958], [33.271559, 35.551735], [33.271528, 35.551732], [33.271631, 35.551928], [33.271733, 35.551656], [33.271505, 35.552416], [33.271408, 35.551721], [33.270859, 35.551759], [33.271238, 35.551768], [33.270964, 35.552366], [33.271225, 35.551603], [33.271613, 35.55152], [33.271793, 35.551816]]","[[33.286244, 35.547929], [33.286115, 35.5474], [33.285787, 35.547801], [33.286188, 35.54762], [33.285606, 35.547221], [33.285711, 35.5479], [33.286199, 35.547411], [33.286137, 35.547033], [33.286276, 35.54736], [33.286192, 35.547108], [33.286527, 35.547835], [33.287424, 35.547894], [33.287404, 35.548529], [33.287011, 35.548446], [33.286674, 35.548157], [33.286826, 35.54885], [33.28714, 35.548067], [33.287069, 35.548126], [33.287257, 35.54834], [33.287105, 35.548624], [33.287804, 35.548492], [33.287912, 35.548234], [33.287031, 35.547993], [33.287363, 35.548375], [33.287508, 35.547882], [33.287294, 35.548326], [33.287328, 35.548277], [33.286996, 35.547931], [33.286997, 35.548085]]","[33.265558, 35.541112]",foe
"[[33.278168, 35.555362], [33.277978, 35.555331], [33.277778, 35.555155], [33.27844, 35.555218], [33.277781, 35.55476], [33.278058, 35.555203], [33.272678, 35.551274], [33.272684, 35.551223], [33.272367, 35.551794], [33.272662, 35.55094], [33.2723, 35.551685], [33.272259, 35.551456], [33.271868, 35.551291], [33.274074, 35.555672], [33.274076, 35.555266], [33.274292, 35.555408], [33.273674, 35.555277], [33.273966, 35.555213], [33.274013, 35.555322], [33.274152, 35.555046], [33.27402, 35.555642], [33.274105, 35.555074], [33.273776, 35.555569], [33.273761, 35.5554], [33.273562, 35.55489], [33.28582, 35.549525], [33.285338, 35.55011], [33.285896, 35.549495], [33.285841, 35.549239], [33.285256, 35.549942], [33.285369, 35.550196], [33.285619, 35.549412], [33.285944, 35.54977], [33.285359, 35.550079], [33.285941, 35.550078], [33.285171, 35.549305], [33.278356, 35.551472], [33.278129, 35.550873], [33.278159, 35.550667], [33.277911, 35.551142], [33.278264, 35.550797], [33.278706, 35.550963], [33.277946, 35.551269], [33.278085, 35.550815], [33.274478, 35.553497], [33.274727, 35.553424], [33.274832, 35.554], [33.27528, 35.553666], [33.274437, 35.554173], [33.274983, 35.553677], [33.271789, 35.552251], [33.27162, 35.551686], [33.271268, 35.551609], [33.271148, 35.551713], [33.270981, 35.551788], [33.271451, 35.551455], [33.271754, 35.552243], [33.27133, 35.552107]]","[[33.285956, 35.547137], [33.28647, 35.547865], [33.285991, 35.547426], [33.286369, 35.547706], [33.286451, 35.5478], [33.285621, 35.547883], [33.286223, 35.547022], [33.285881, 35.547693], [33.286489, 35.547468], [33.286164, 35.547813], [33.285757, 35.547349], [33.285992, 35.547253], [33.287023, 35.548114], [33.28708, 35.548226], [33.286574, 35.547883], [33.287166, 35.548365], [33.287519, 35.548553], [33.286689, 35.548331], [33.287459, 35.54802], [33.287519, 35.548508], [33.287328, 35.547999], [33.287006, 35.548063], [33.286869, 35.548866], [33.287687, 35.548404], [33.286727, 35.547948], [33.287086, 35.548243], [33.287423, 35.548089], [33.286812, 35.548254], [33.286801, 35.547979]]","[33.263242, 35.543491]",friend
"[[33.279137, 35.554895], [33.278719, 35.55564], [33.278908, 35.554892], [33.2792, 35.554884], [33.278598, 35.555085], [33.278588, 35.555618], [33.273787, 35.551261], [33.273595, 35.551328], [33.273683, 35.551432], [33.273702, 35.551392], [33.273826, 35.551647], [33.273789, 35.551318], [33.275475, 35.555424], [33.275219, 35.555217], [33.274878, 35.55543], [33.274819, 35.555272], [33.275059, 35.555062], [33.275129, 35.55529], [33.275542, 35.555387], [33.275103, 35.554979], [33.285594, 35.549708], [33.285818, 35.549908], [33.285358, 35.54931], [33.28529, 35.549859], [33.285736, 35.549584], [33.285927, 35.550091], [33.278605, 35.550748], [33.278243, 35.551034], [33.278685, 35.550547], [33.277891, 35.550761], [33.278389, 35.551348], [33.278581, 35.551265], [33.278842, 35.551368], [33.27569, 35.552741], [33.275728, 35.553238], [33.275397, 35.553445], [33.275301, 35.55312], [33.274783, 35.553396], [33.275227, 35.552811], [33.274994, 35.553453], [33.275227, 35.552728], [33.275257, 35.552676], [33.274798, 35.552855], [33.275271, 35.552767], [33.271775, 35.55168], [33.271722, 35.552398], [33.270986, 35.551922], [33.270886, 35.552026], [33.271655, 35.551967], [33.271808, 35.552055]]","[[33.286036, 35.548298], [33.285558, 35.547556], [33.2862, 35.548248], [33.285772, 35.547656], [33.285766, 35.547471], [33.285835, 35.548286], [33.285309, 35.548263], [33.28617, 35.547433], [33.285286, 35.54798], [33.285373, 35.547998], [33.287084, 35.54834], [33.287492, 35.548511], [33.287139, 35.548543], [33.286635, 35.548143], [33.287294, 35.54819], [33.286974, 35.548379], [33.286942, 35.547858], [33.28715, 35.547631], [33.287389, 35.548336], [33.28654, 35.548613], [33.286605, 35.548162], [33.286984, 35.548319], [33.287512, 35.548323], [33.286854, 35.54845], [33.28699, 35.54805], [33.287296, 35.547947], [33.286754, 35.548157], [33.286934, 35.547968]]","[33.285306, 35.560989]",friend
"[[33.279422, 35.555369], [33.279031, 35.554982], [33.279228, 35.554878], [33.278779, 35.55513], [33.278692, 35.555326], [33.279304, 35.554699], [33.279441, 35.55484], [33.278625, 35.555407], [33.279246, 35.555], [33.279558, 35.554941], [33.279064, 35.555055], [33.278905, 35.55553], [33.273619, 35.551281], [33.273593, 35.551327], [33.273861, 35.551246], [33.273391, 35.551698], [33.273902, 35.551247], [33.273698, 35.551391], [33.273161, 35.551518], [33.273823, 35.550889], [33.276184, 35.55553], [33.275978, 35.555514], [33.276063, 35.554799], [33.276408, 35.554919], [33.275886, 35.555453], [33.276097, 35.5552], [33.27632, 35.554874], [33.275822, 35.554874], [33.275679, 35.554757], [33.275632, 35.555561], [33.276372, 35.55493], [33.286011, 35.549539], [33.285434, 35.550187], [33.285232, 35.549698], [33.28573, 35.550143], [33.285672, 35.549491], [33.285907, 35.549666], [33.28599, 35.550031], [33.278689, 35.551249], [33.279217, 35.550576], [33.279202, 35.551331], [33.279027, 35.550528], [33.279004, 35.550979], [33.279309, 35.551053], [33.27699, 35.553269], [33.276971, 35.553437], [33.276291, 35.553531], [33.276258, 35.553541], [33.27696, 35.553007], [33.276742, 35.553273], [33.276691, 35.553058], [33.276687, 35.553414], [33.276355, 35.55329], [33.271425, 35.551022], [33.270964, 35.551354], [33.270755, 35.550669], [33.271544, 35.551088], [33.271425, 35.550956], [33.270899, 35.551011], [33.271142, 35.550732], [33.27112, 35.551386], [33.270615, 35.550701], [33.27139, 35.551367], [33.271313, 35.55091]]","[[33.285241, 35.547921], [33.285447, 35.548213], [33.285726, 35.547503], [33.285966, 35.547804], [33.285628, 35.547994], [33.285314, 35.548003], [33.28611, 35.547796], [33.286139, 35.547892], [33.285534, 35.547795], [33.286168, 35.547473], [33.285954, 35.547726], [33.287239, 35.54862], [33.287744, 35.548556], [33.286951, 35.548465], [33.287204, 35.548536], [33.287411, 35.548402], [33.287493, 35.548376], [33.287222, 35.549065], [33.287523, 35.548124], [33.287578, 35.548897], [33.286808, 35.547921], [33.286906, 35.548776], [33.287003, 35.548145], [33.287306, 35.547969], [33.28762, 35.548302]]","[33.278818, 35.548326]",friend
"[[33.280295, 35.555398], [33.280207, 35.555088], [33.280394, 35.55565], [33.279712, 35.555587], [33.279857, 35.55468], [33.279855, 35.555625], [33.280095, 35.555145], [33.279866, 35.554912], [33.279816, 35.554832], [33.274956, 35.550418], [33.274962, 35.550877], [33.274972, 35.551101], [33.275134, 35.550237], [33.275153, 35.550897], [33.275018, 35.550978], [33.277175, 35.554987], [33.276807, 35.555512], [33.27636, 35.555599], [33.276683, 35.555618], [33.276802, 35.555126], [33.276374, 35.5555], [33.276255, 35.555141], [33.276359, 35.55527], [33.286309, 35.549156], [33.286231, 35.548937], [33.285479, 35.548836], [33.286052, 35.549288], [33.285515, 35.549475], [33.285735, 35.549321], [33.286035, 35.549351], [33.285749, 35.548967], [33.278711, 35.550907], [33.278752, 35.550733], [33.278697, 35.550702], [33.279116, 35.551458], [33.278569, 35.55106], [33.279469, 35.55051], [33.278589, 35.550959], [33.279427, 35.551054], [33.279357, 35.550751], [33.276759, 35.553363], [33.276712, 35.552957], [33.276535, 35.553528], [33.276286, 35.552611], [33.276891, 35.552657], [33.276548, 35.553461], [33.272815, 35.551022], [33.273082, 35.550273], [33.272365, 35.550542], [33.273054, 35.551204], [33.272654, 35.550357], [33.273119, 35.551041], [33.273062, 35.550245], [33.272342, 35.550546], [33.272952, 35.550926], [33.27283, 35.550551]]","[[33.285984, 35.5478], [33.285764, 35.547862], [33.285237, 35.547925], [33.285499, 35.54823], [33.2861, 35.547368], [33.285733, 35.547814], [33.286915, 35.548597], [33.287556, 35.548402], [33.287781, 35.548399], [33.287547, 35.548749], [33.287752, 35.548858], [33.287374, 35.548437], [33.287455, 35.548375], [33.287554, 35.548525], [33.287541, 35.548314], [33.287212, 35.548287], [33.286848, 35.54897]]","[33.286606, 35.561517]",friend
"[[33.279488, 35.554217], [33.280169, 35.554582], [33.28005, 35.554191], [33.27974, 35.554139], [33.27996, 35.554596], [33.280188, 35.555105], [33.279758, 35.554974], [33.280111, 35.554961], [33.275253, 35.54941], [33.275381, 35.54997], [33.275281, 35.549615], [33.274586, 35.549173], [33.275373, 35.549803], [33.274676, 35.549377], [33.274507, 35.549358], [33.274552, 35.549785], [33.274642, 35.54977], [33.274685, 35.549946], [33.276742, 35.555264], [33.276304, 35.554762], [33.276821, 35.554881], [33.276281, 35.555644], [33.276732, 35.555428], [33.276959, 35.555618], [33.285397, 35.548735], [33.285559, 35.548625], [33.285426, 35.548589], [33.285606, 35.54928], [33.285421, 35.54892], [33.285999, 35.549125], [33.279416, 35.550829], [33.279459, 35.551382], [33.279214, 35.551189], [33.279446, 35.55104], [33.279387, 35.551108], [33.278636, 35.550771], [33.279411, 35.550669], [33.2792, 35.551371], [33.279153, 35.551085], [33.279175, 35.550959], [33.278573, 35.550776], [33.276462, 35.552942], [33.276248, 35.553087], [33.276013, 35.552992], [33.276072, 35.553038], [33.276566, 35.5532], [33.276929, 35.553322], [33.276281, 35.552951], [33.276539, 35.553407], [33.276938, 35.55314], [33.272412, 35.550912], [33.272832, 35.550376], [33.272985, 35.55086], [33.272357, 35.551019], [33.272394, 35.551113], [33.272778, 35.550283], [33.272486, 35.550691], [33.272903, 35.551186]]","[[33.285309, 35.547721], [33.285591, 35.547984], [33.285349, 35.547856], [33.286243, 35.547831], [33.285285, 35.547795], [33.286269, 35.547703], [33.285892, 35.547749], [33.286825, 35.548911], [33.287239, 35.548617], [33.287481, 35.548577], [33.28767, 35.548838], [33.287023, 35.548846], [33.287719, 35.548799], [33.28763, 35.548369], [33.286853, 35.548247], [33.286986, 35.548438], [33.287507, 35.548877]]","[33.282814, 35.556701]",friend
